,name,score
2331,Facebook Story,4.04214225
4984,BAM 2x,4.041315
943,Pennyroyal,4.04004725
181,"Sister, Do You Know My Name?",4.039454003
3633,Loveyou,4.03868125
2488,OD,4.03548575
4028,Track07 [Georgia Anne Muldrow Version Feat. Arlo Parks],4.0346653
1695,Buildings Have Eyes,4.03463
20,Easy Living,4.0345951
4340,tequila,4.033026
1010,Don't Be That Way,4.03279675
3653,Marvins Room,4.03276432
2569,Geek Stink Breath,4.0324895
2381,Thanksgiving,4.03214225
4083,Dad Battle,4.03089875
5073,Hear Me Clearly (with Nigo),4.0308125
254,Jet (In the Style of Paul McCartney and Wings) [Karaoke Version],4.02947616
1572,Exit Music (For a Film),4.02944506
5459,Wormwood,4.02740925
4928,"living the sweet life, but it still tastes bitter",4.02646575
233,Missed the Boat,4.02599725
1009,Bugle Call Rag,4.02555775
5446,Charnsuka,4.025129999999999
2743,Skit #2,4.022810499999999
1715,Saw Lightning,4.022501
3345,Sunkissed,4.021996
2889,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk) - A Cappella",4.02102378
5760,حوا,4.019768
3963,Reality In Motion,4.017774749999999
3170,Hello,4.01775175
1911,Order,4.017323
898,Blackmail,4.016538000000001
5411,Saffron,4.01480375
4510,In My Dreams,4.013888946
1898,Chapel Perilous,4.013560035499999
5193,Talk,4.011286
1640,Greenback Dollar,4.01044575
14,Don't Stop Me Now,4.0071079
64,Jane,4.0071079
3178,Snowchild,4.005647
2755,Graduation Day,4.00482075
1925,Easy Eyes,4.0035899100000005
684,You Lied,4.003492516
3436,Persuaders Up!,4.00344825
318,Ps & Qs,4.001126273500001
3184,Save Your Tears,4.00021325
5553,Next view (feat. Uyama Hiroto),3.99967725
1786,Plants,3.9970745
848,Guardian angel,3.996538
4904,Dave Brubeck,3.994721
1951,Sticky Flower,3.99421028
634,Suffocate,3.993492516
5039,DIVE,3.9931785
2310,Do What I Want,3.992664
2221,X,3.99222175
938,Waves,3.991211249999999
2956,P2,3.99016725
3206,The Inch Worm - Live,3.9896947
464,"Hello, Goodbye - Remastered 2009",3.98904075
630,Teenagers,3.98584675
3860,Feel Better,3.985421
2002,Boo,3.98496525
1060,To the End,3.98279675
3603,Eternal Light,3.98276432
986,95 Till Infinity,3.98153675
2062,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",3.981292871
1465,Your Woman,3.97984662
3685,fue mejor,3.97891603
3907,Drinkin' Again (Interlude),3.97818175
4346,cherry blossom,3.976008250000001
1234,O.C.B.,3.97520125
3666,The Motto,3.973911298799999
1129,Exception (feat. Tsuko G. & Eruption),3.9737082
1765,SING,3.972501
4386,GAMBA,3.96864325
2080,Payday,3.96832445
378,Ultralight Beam,3.9681881
1635,King of the Surf Guitar,3.965838706
481,The Logical Song,3.96349275
3486,Open Letter to Duke,3.96344825
1025,THE WORLD REVOLVING,3.96333125
5142,Who Can He Be,3.961323761
1406,On Love (An Alternative Response to Almitra's Request),3.96122425
5082,Alone,3.961083
4819,Strangers on a Train,3.960682
4388,SUMMER,3.95937975
5198,Empty Tricks,3.9549819999999993
5583,Eskimo Kiss,3.9530958317
2409,i,3.9525425
4128,pad lock,3.9524335
650,Camera (Queer Sound),3.95226025
610,Paperback Writer - Remastered 2015,3.950163527799999
5710,Intro,3.949768
3635,Corner Story,3.94891603
3546,Keep It Rollin',3.94836212
4774,Footprints,3.947166750000001
2974,Candy Paint,3.943755176
2051,Shadows of Tomorrow,3.9431335
1981,Jozz,3.94273525
4178,FRIENDZONE,3.9424335
1973,Freefall,3.94212675
5864,Silent Hill,3.94203975
2315,I Can Drive,3.942032
3477,Politely - Remastered 2005,3.9408605
3424,Scramble Suit II,3.93940325
1,The Boondocks Main Title,3.9379025
5222,space,3.93733875
3092,Lotus,3.9363675
5268,idgaf,3.9357890000000006
5370,COMATUS,3.935783551
1349,SPEEDBOAT,3.93471775
992,Star Wars: Galaxy's Edge Symphonic Suite - Music Inspired by the Disney Themed Land,3.9343365
1795,Nina,3.93396725
4556,Darlin',3.9327960165
5225,takoyaki beat,3.9305235
595,Ordinary Dream,3.92815144
545,"Another Brick in the Wall, Pt. 2",3.92815144
3034,Opps (with Yugen Blakrok),3.927632082
2825,Hello,3.92722925
3586,One Love / People Get Ready - Medley,3.92616475
2147,Just After Midnight,3.92436886
3432,If I Had My Way,3.9237845
2459,Broken Boy,3.9225425
2810,Que Pasa - Rudy Van Gelder Edition/1999 Digital Remaster,3.9220445
1160,Evenin',3.92196625
4784,Til Now,3.920693
2202,Veins,3.920391463
5401,Sessão 26,3.91963475
2834,Egyptian Luvr,3.91876
1936,Growing Baby,3.9183772
3596,On Sight,3.91836212
1578,Shine the Light on Me,3.9174835
1078,Man in a Suitcase,3.9168657
5194,Everyone Knows,3.916646145000001
4169,THE LIGHT,3.9165265
3536,Midnight Marauders Tour Guide,3.91616475
3612,Next Levels,3.91507723
3649,Shot For Me,3.914720543000001
3819,Tetrachromacy,3.9120477499999993
4781,North Star,3.91091475
290,Brand New Colony - Remastered,3.91056344
5767,BackOutsideBoyz,3.91051985
2925,Fig Leaf Bi-Carbonate,3.9098845
441,Boogie Woogie Rhumba,3.909175219
5134,The Star (of David),3.90887
952,Supersonic Rocket Ship,3.908562
1986,What Did You Do,3.9083772
199,"Oh Well (Pt. 1) - Live 1979, St. Louis, MO",3.9069362499999993
4808,Acapulco,3.90576975
4858,Trip Thru Hell,3.90576975
1571,Believer,3.90539709
2861,My Heart Went Oops,3.9047735
5808,Mrs. Worldwide,3.90425445
2980,Hate Government,3.9029625
3701,If I Had an Experiment,3.901651
3474,Lil Empathy,3.89940325
4493,I'm Gonna Be,3.8985559999999992
604,I Feel Fine - Remastered 2015,3.8969432873
696,Empty Chairs,3.8964518
5718,The fo Five,3.895743254
3662,Look What You've Done,3.89507723
4690,I Hear a Symphony,3.89359325
2270,Pizzazz,3.8934965
4268,have you heard,3.89337575
5533,Backlight,3.8930958317
4506,Your Teeth In My Neck,3.8927960165
4371,Take Me Away (feat. Syd),3.89223025
1923,Seltzer,3.89212675
2114,Tell Me Nothing,3.8906450255
2965,Psycho (feat. Ty Dolla $ign),3.88895363
2915,Cotton Eye Joe,3.88895363
5469,Syko 4 Dat Ass,3.88819825
3084,SMELLS LIKE INCENSE,3.887632082
4379,SCENE,3.88703975
149,Sooner Or Later,3.88693625
2973,92 Explorer,3.8864965000000007
4254,"rest, in peace",3.88613475
4328,No1 Left,3.8855703
5468,Iron Door,3.88301398
379,How to Properly Use a Semicolon,3.882972065
4419,King's Court (From the Europa Universalis IV Soundtrack),3.88265275
5660,out of bed,3.8825845
1751,Mounted Up,3.88249575
1110,3 Nights,3.88196625
384,Surf Hell,3.88157405
3410,LaLa Challenge,3.88122525
3476,Sakeena's Vision - Remastered 2005,3.88103125
2804,Three to Get Ready,3.88067525
5275,Where'd All the Time Go?,3.8805235
3285,Damaged Goods,3.88042425
5451,Monosodium Glutamate,3.87963475
655,Getting to the Point,3.87829775
321,Redundant,3.877128295
4119,a&t,3.8765265
646,Encrypted Bounce,3.8764518
3810,Turn Me Away,3.875421
3172,Love Yourz,3.87529002
4576,Race My Mind,3.8745375
5600,Will You Stay Here with Me,3.8738705
5484,Down,3.87322813
3553,Pua Paoakalani (Instrumental Version),3.87315575
1931,Darren,3.87273525
4321,Nicotine,3.87223025
3140,If It Ain't Ruff,3.87114475
4743,Demon Cleaner,3.871008
4033,DIET_1.5 [Feat. Benny The Butcher],3.87089875
4135,Who You Foolin,3.8706695
2714,Homecoming,3.86968975
168,Blue Veins,3.86938875
2571,Bab's Uvula Who?,3.869122
4588,GOING MERRY!!!,3.8683985
328,Walking Alone,3.8681881
654,So Serious,3.8669432873
3205,Mr. P.C. - Live,3.8663245
4277,missing you,3.86610875
836,Six String Orchestra,3.864959
1179,Qwerty Enchanted The House and Now It's Attacking Us,3.8637082
5219,werdieflinteinskornwirftsollteaufpassendasserkeinblindeshuhndamittrifft,3.863591
0,Lone Digger,3.86284575
3247,Lucifer,3.8627655
2355,Passion,3.8625832747
5816,C’est La Vie (with bbno$ & Rich Brian),3.86203975
3190,Deeper,3.86114475
5308,MY EX,3.861132
3427,Red Study,3.8608605
523,Ocean Breathes Salty,3.8607812865
1039,"Honey, We Can't Afford to Look This Cheap",3.8606420789
3183,In Your Eyes,3.85968
3702,Miz Experiment,3.85912475
382,Shake Me Down,3.858820383
2030,Demon With Glass Sword,3.85832445
5138,Never On Sunday,3.8581185
1579,Somedays (I Don't Feel Like Trying),3.856555016
2059,Great Day,3.8564250000000007
5399,Não Me Coloque na Sua Loja,3.8558925
3128,Remember Me?,3.855647
2159,SICKO MODE,3.8551460298
79,End Of The Beginning,3.85497155
3616,Lockjaw,3.8539112988
2564,Track07,3.85384402
910,SUPER PREDATOR (feat. Styles P),3.85293025
960,Vietnam,3.85293025
2782,Mobius,3.8524815
2164,WAKE UP,3.8506450255
1550,If I Had Possession Over Judgement Day,3.8501725
2521,Skypager,3.849122
1648,Cotton Picking,3.849121
2979,Bloodshed,3.84705175
3141,Parental Discretion Iz Advised,3.84645825
1420,Ligma,3.8457785
3599,Gidget (feat. Anderson .Paak & T.Nava),3.844720543
2250,Down Came the Rain,3.8446827795
5650,Forever,3.8438705
3948,N.G.R.I (Bloodstain),3.842723
3475,The Chess Players - Remastered 2005,3.84134795
4869,no way (feat. Jamie Foxx),3.840682
3256,Get It While You Can,3.8396947
4018,Fishing For Fishies,3.8393065
1454,Portrait of Ned,3.838914
332,Prosthetic Head,3.838820383
5390,Lógos,3.83849025
2978,DRAINO (feat. Denzel Curry),3.83843975
525,Dance Hall,3.83800725
3315,The Genesis,3.83787
2608,Had 2,3.83778775
2658,Knotty Head,3.83778775
5824,Bars Into Captions,3.836654
4978,MERLOT,3.83646575
3191,High (feat. Danny Brown),3.83645825
5262,$umn$light,3.83609225
5632,Stratosphere,3.8360385
1036,Conquest - Acoustic Mariachi Version,3.83561415
2109,House of Clocks,3.8351460298
4542,Good Luck,3.8331837619
5610,Don't Leave Me This Way,3.8325845
1556,Milkcow's Calf Blues,3.831532
4534,Discord,3.831504054
5445,Coltsfoot Leaf,3.83140725
3134,Bitch Please II,3.83021325
1632,Cross Road Blues - Take 1,3.82995308
588,Alright,3.82898325
4337,forest,3.828874
4876,bibi's interlude,3.82877025
2092,Every Way,3.8274930312
2144,Tastes Good,3.82656825
5568,World's end Rhapsody,3.82513075
